ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
CMCSA,2003-10-28,2003-10-29,2003-11-04,7.0429,6.8627,-2.5588,-3.0588,time_loss,4,1.5174,-4.2547,2.614,64.81,26.24,
HON,2004-04-06,2004-04-07,2004-04-14,19.0108,18.8089,-1.0617,-1.5617,time_loss,4,1.033,-1.7504,2.0986,63.77,25.78,0.854
ADBE,2004-10-04,2004-10-05,2004-10-25,25.3497,26.8741,6.0134,5.5134,time,14,8.0244,-2.2476,2.1803,64.37,26.82,0.9781
COP,2004-11-22,2004-11-23,2004-12-01,16.7817,16.8119,0.1795,-0.3205,time_loss,5,2.3564,-0.8416,1.8312,62.28,28.7,0.9894
PG,2004-12-09,2004-12-10,2004-12-10,31.6605,30.7217,-2.9651,-3.4651,stop,0,0.0,-3.2753,1.6685,63.29,25.89,0.9691
ABT,2005-03-30,2005-03-31,2005-04-15,13.7668,14.2809,3.7347,3.2347,stop,11,7.5264,-1.647,1.6467,61.49,26.57,0.9164
CTSH,2005-09-09,2005-09-12,2005-09-15,10.5413,10.097,-4.2157,-4.7157,stop,3,1.5995,-4.2792,2.344,60.57,28.56,0.8681
UNP,2006-03-17,2006-03-20,2006-04-07,15.0157,15.4667,3.0034,2.5034,time,14,6.3147,-0.836,2.0648,63.37,28.03,0.9714
INTU,2006-04-19,2006-04-20,2006-04-21,24.8819,24.0366,-3.3974,-3.8974,stop,1,2.312,-3.5122,1.943,63.75,25.75,0.9422
CTSH,2006-09-13,2006-09-14,2006-09-20,15.9303,15.9084,-0.1375,-0.6375,time_loss,4,2.1443,-2.7629,2.7987,63.65,27.72,0.9709
CTSH,2006-09-27,2006-09-28,2006-10-03,16.5938,15.7856,-4.87,-5.37,stop,3,0.7654,-5.1861,2.7546,64.33,29.94,0.9538
SPGI,2006-09-29,2006-10-02,2006-10-19,40.4568,42.1662,4.2254,3.7254,stop,13,10.3177,0.0,1.4345,62.06,26.09,0.9199
NUE,2006-12-04,2006-12-05,2006-12-12,36.9602,34.5319,-6.5701,-7.0701,stop,5,5.5469,-9.0625,3.7365,64.95,26.58,0.9747
SPGI,2007-01-18,2007-01-19,2007-01-23,49.1878,47.8527,-2.7144,-3.2144,stop,2,0.0,-2.923,1.4956,62.32,31.51,0.976
ICE,2007-06-15,2007-06-18,2007-06-22,26.7384,26.4442,-1.1002,-1.6002,time_loss,4,3.3196,-3.1161,3.6802,64.32,34.15,0.9166
EXPE,2007-08-08,2007-08-09,2007-08-16,36.6919,36.4317,-0.7092,-1.2092,time_loss,5,4.5745,-2.4113,2.7371,52.2,29.91,0.8764
ICE,2007-11-06,2007-11-07,2007-11-08,29.9266,28.032,-6.3307,-6.8307,stop,1,2.3011,-6.8977,3.5172,64.95,36.5,0.9892
EXPE,2007-12-05,2007-12-06,2007-12-14,43.2756,43.2626,-0.0301,-0.5301,time_loss,6,4.2093,-1.5634,3.5567,64.17,25.28,0.8834
GOOG,2007-12-10,2007-12-11,2007-12-13,17.7746,16.8955,-4.9457,-5.4457,stop,2,0.1458,-5.3796,2.7776,63.9,32.3,0.9071
LIN,2007-12-21,2007-12-24,2007-12-31,64.766,62.3686,-3.7017,-4.2017,time_loss,4,0.0,-3.9079,2.6201,62.57,25.2,0.9925
