ticker,date,entry_date,exit_date,entry_price,exit_price,gross_pct,net_pct,exit_reason,exit_day,mfe_pct,mae_pct,atr_pct_entry,rsi_entry,adx_entry,wk52_pos_entry
AZO,2003-10-23,2003-10-24,2003-10-30,95.1,102.3554,7.6292,7.1292,target,4,8.8644,-0.7361,1.8977,63.66,27.28,
CMCSA,2003-10-28,2003-10-29,2003-11-04,7.0429,6.8627,-2.5588,-3.0588,time_loss,4,1.5174,-4.2547,2.614,64.81,26.24,
MS,2003-10-30,2003-10-31,2003-11-14,28.1404,28.3217,0.6443,0.1443,stop,10,6.1609,-1.2798,2.4954,61.72,29.6,
ADI,2003-11-25,2003-11-26,2003-12-03,30.3101,29.7612,-1.8109,-2.3109,time_loss,4,1.3078,-2.3139,3.5165,63.91,25.86,
VTRS,2003-12-01,2003-12-02,2003-12-08,20.1802,19.9862,-0.9615,-1.4615,time_loss,4,0.1154,-3.0769,3.5416,61.36,27.76,
HPQ,2003-12-29,2003-12-30,2004-01-08,5.9973,6.2345,3.9552,3.4552,stop,6,9.4164,0.0,1.9152,62.12,28.23,
A,2003-12-29,2003-12-30,2004-01-08,17.0263,18.3941,8.0339,7.5339,stop,6,13.2049,-0.1751,2.3061,62.37,25.67,
FISV,2003-12-29,2003-12-30,2004-01-08,9.8125,9.7475,-0.6624,-1.1624,time_loss,6,3.465,-1.1975,2.3141,61.6,30.04,
SBUX,2003-12-31,2004-01-02,2004-01-08,6.1691,6.1561,-0.2093,-0.7093,time_loss,4,3.139,-1.6442,2.1061,64.55,35.2,0.9804
GD,2004-04-05,2004-04-06,2004-04-19,28.5329,28.3461,-0.6546,-1.1546,time_loss,8,2.4219,-0.9164,1.7032,63.11,29.96,0.8903
HON,2004-04-06,2004-04-07,2004-04-14,19.0108,18.8089,-1.0617,-1.5617,time_loss,4,1.033,-1.7504,2.0986,63.77,25.78,0.854
TRV,2004-04-08,2004-04-12,2004-04-14,25.5047,24.6506,-3.3486,-3.8486,stop,2,1.0735,-4.4107,1.8626,64.96,28.84,0.9706
