date,ticker,action,score,entry,stop,target,exit_price,exit_reason,exit_day,gross_pct,net_pct,net_pct_alt,net_pct_stop15,net_pct_stop25,net_pct_nostop,spy_leg_pct,size_mult,overnight_pct,intraday_pct,entry_style,mr_trigger,max21,quality_score,mfe_pct,mae_pct,atr_pct,days_to_earnings,days_since_earnings,dow,near_52wk_low,vix_entry,spy_trend_entry,ibs_entry,change_pct_entry,entry_price,atr,ou_halflife,hurst,rvol,vix,sector_etf,bb_pct_b,vwap_pct,price_zscore,month,entry_prob,hmm_bull_prob,hmm_trans_risk,vix_term_ratio,sector_momentum,vix_9d_ratio,ff_str,si_rising,sv_ratio,sv_ratio_5d_delta,ftd_63d_pctile,umcsent,tone_z,orats_iv_rank,orats_iv_pctile,orats_atm_iv_30d,orats_pc_iv_skew,orats_gex,orats_dex,orats_pc_volume_ratio,orats_pc_oi_ratio,orats_zero_dte_put_volume,year
2001-03-01,PG,BUY,60.04,17.24,16.45,18.29,18.05,adaptive,4,4.72,4.22,1.671,-5.15,-4.718,-4.718,,1.0,0.988,3.732,open,multi,2.94,55.8,5.31,-0.059,3.04,,,3,False,28.08,-1,0.167,-2.624,17.24,0.5235,3.6,0.731,1.208,28.08,XLP,-0.1317,-6.6717,-2.5268,3,0.572394847869873,0.9783,0.0245,1.0,-0.0034,1.076,0.24,,,,,,,,,,,,,,,,2001
2002-03-04,UNH,BUY,47.84,13.03,12.6,13.61,13.61,target,3,4.422,3.922,3.922,3.922,3.922,3.922,,1.0,1.808,2.614,open,multi,1.56,34.9,5.364,-0.044,2.21,,,0,False,20.5,0,0.089,-4.379,13.03,0.2881,11.48,0.654,3.039,20.5,XLV,-0.3513,-7.145,-3.4051,3,0.8108381628990173,0.9999,0.0221,1.0,0.0256,0.9395,0.6,,,,,,,,,,,,,,,,2002
2002-03-05,HD,BUY,55.24,27.61,26.39,29.24,28.3,adaptive,2,2.492,1.992,0.331,3.272,3.272,3.272,,1.0,2.848,-0.356,open,multi,2.7,48.4,3.874,-0.105,2.94,,,1,False,20.3,0,0.192,-4.81,27.61,0.8125,3.45,0.745,2.0,20.3,XLY,-0.1256,-5.5621,-2.5023,3,0.7354040145874023,0.9999,0.0221,1.0,-0.0153,0.9417,0.17,,,,,,,,,,,,,,,,2002
2003-05-19,AMGN,BUY,45.16,40.56,39.09,42.53,41.53,adaptive,2,2.4,1.9,-0.468,4.344,4.344,4.344,,1.0,-1.705,4.105,open,multi,4.69,32.1,3.542,-0.877,2.42,,,0,False,20.51,1,0.098,-3.274,40.56,0.9824,11.32,0.647,1.343,20.51,XLV,0.1426,-2.5831,-1.4295,5,0.7374157309532166,0.0,0.0084,1.0,-0.0267,1.0283,-0.91,,,,,,,,,,,,,,,,2003
2003-05-20,MRK,BUY,47.24,21.62,20.78,22.74,22.19,adaptive,3,2.623,2.123,-0.241,0.739,0.739,0.739,,1.0,-0.546,3.169,open,multi,3.39,31.7,2.951,-0.893,2.59,,,1,False,21.29,1,0.408,-2.93,21.62,0.5604,12.7,0.662,2.316,21.29,XLV,-0.1954,-5.0233,-2.7818,5,0.8613380789756775,0.0,0.0084,1.0,-0.0407,1.0657,-0.25,,,,,,,,,,,,,,,,2003
2003-06-23,HAL,BUY,52.24,7.75,7.32,8.32,8.32,target,1,7.37,6.87,-0.65,6.87,6.87,6.87,,1.0,1.716,5.653,open,multi,4.28,48.5,7.769,-1.039,3.68,,,0,False,20.58,1,0.284,-2.548,7.75,0.2854,9.96,0.587,1.426,20.58,XLE,-0.014,-5.3431,-2.0559,6,0.8508208990097046,0.0,0.0086,1.0,-0.017,1.0245,0.29,,,,,,,,,,,,,,,,2003
2003-06-25,DIS,BUY,54.64,14.79,14.06,15.77,15.26,adaptive,2,3.187,2.687,1.472,6.114,6.114,6.114,,1.0,4.232,-1.045,open,multi,4.91,43.3,5.381,-1.515,3.31,,,2,False,20.81,1,0.147,-2.649,14.79,0.4892,10.0,0.686,1.344,20.81,XLC,0.0094,-5.8638,-1.9625,6,0.7485858201980591,0.0,0.0086,1.0,0.0,1.0306,0.54,,,,,,,,,,,,,,,,2003
2003-08-05,JPM,BUY,54.8,17.79,16.95,18.9,18.13,adaptive,4,1.939,1.439,2.227,2.227,2.227,2.227,,1.0,1.182,0.758,open,multi,4.31,44.5,2.364,-1.515,3.14,,,1,False,22.68,1,0.031,-2.876,17.79,0.5581,10.04,0.674,1.214,22.68,XLF,-0.0357,-6.6611,-2.143,8,0.6659220457077026,1.0,0.0054,1.0,-0.0351,1.157,-0.11,,,,,,,,,,,,,,,,2003
2003-08-06,AMGN,BUY,54.64,44.23,42.51,46.53,45.32,adaptive,2,2.459,1.959,2.276,4.7,4.7,4.7,,1.0,-0.273,2.732,open,multi,1.72,50.6,3.202,-0.106,2.6,,,2,False,21.5,1,0.512,-0.151,44.23,1.15,8.1,0.631,1.374,21.5,XLV,-0.0549,-4.7697,-2.2195,8,0.7403900623321533,1.0,0.0054,1.0,-0.0355,1.0791,0.34,,,,,,,,,,,,,,,,2003
2004-03-15,KO,BUY,51.23,12.35,12.02,12.79,12.62,adaptive,2,2.167,1.667,0.743,3.061,3.061,3.061,,1.0,0.437,1.729,open,multi,2.6,44.0,3.125,-0.313,1.78,,,0,False,21.13,1,0.11,-1.527,12.35,0.2199,4.16,0.722,1.336,21.13,XLP,-0.0114,-3.4762,-2.0455,3,0.6891828179359436,0.0,0.0068,1.0,-0.0311,1.2302,-0.32,,,,,,,,,,,,,,,,2004
2004-03-23,EBAY,BUY,52.64,12.21,11.73,12.84,12.43,adaptive,2,1.876,1.376,3.218,4.716,4.716,4.716,,1.0,0.427,1.449,open,multi,2.51,62.7,3.325,-0.702,2.61,,,1,False,20.67,1,0.421,-0.757,12.21,0.3183,3.48,0.531,1.345,20.67,XLY,-0.0778,-4.0706,-2.3114,3,0.7425962686538696,0.0,0.0068,1.0,-0.0116,1.0423,0.15,,,,,,,,,,,,,,,,2004
2006-06-12,SLB,BUY,50.04,36.21,33.82,39.4,36.28,time,5,0.197,-0.303,1.451,-0.303,-0.303,-0.303,,1.0,0.699,-0.502,open,multi,3.24,29.6,6.452,-3.226,4.4,,,0,False,20.96,0,0.016,-4.458,36.21,1.5927,15.57,0.684,0.93,20.96,XLE,-0.1664,-10.8058,-2.6655,6,0.7510837316513062,0.0,0.0299,1.0,-0.0553,1.221,-1.08,,,,,,,,,,,,,,,,2006
2007-07-31,HON,BUY,45.86,34.93,33.8,36.45,36.45,target,2,4.344,3.844,0.157,3.844,3.844,3.844,,1.0,0.544,3.8,open,multi,2.89,30.1,4.689,-0.755,2.17,,,1,False,23.52,0,0.03,-3.247,34.93,0.7588,5.66,0.778,1.341,23.52,XLI,0.0979,-3.8466,-1.6083,7,0.5945245623588562,0.0,0.0166,1.1016,-0.0293,1.21,-0.38,,,,,,,,,,,,,,,,2007
2007-10-24,COP,BUY,54.8,32.87,31.53,34.67,34.03,adaptive,2,3.519,3.019,-0.65,3.423,3.423,3.423,,1.0,2.487,1.032,open,multi,1.84,45.5,4.119,-1.059,2.73,650.0,,2,False,20.8,1,0.423,-1.887,32.87,0.8965,9.94,0.663,1.401,20.8,XLE,-0.029,-4.4067,-2.1161,10,0.7869784832000732,1.0,0.012,0.977,-0.0311,1.0409,-0.82,,,,,,,,,,,,,,,,2007
2007-11-01,XOM,BUY,59.74,45.77,44.17,47.89,46.64,adaptive,2,1.906,1.406,0.715,0.715,0.715,0.715,,1.0,-0.913,2.819,open,multi,2.19,62.8,2.041,-2.458,2.32,643.0,,3,False,23.21,1,0.169,-3.794,45.77,1.0626,8.0,0.568,1.566,23.21,XLE,-0.0932,-4.1532,-2.3729,11,0.555571436882019,1.0,0.012,1.0256,-0.0178,1.1215,-0.97,,,,,,,,,,,,,,,,2007
2008-01-02,JNJ,BUY,54.64,38.22,37.49,39.19,38.86,adaptive,2,1.688,1.188,-0.635,2.041,2.041,2.041,,1.0,-0.441,2.129,open,multi,1.04,29.2,2.221,-0.593,1.27,580.0,,2,False,23.17,0,0.148,-1.184,38.22,0.4856,17.61,0.728,1.214,23.17,XLV,-0.2842,-2.4681,-3.1368,1,0.6341439485549927,0.0,0.0032,0.9818,-0.0292,1.1293,-0.53,,,,,,,,,,,,,,,,2008
2009-10-27,FIS,BUY,51.23,16.87,16.16,17.83,16.54,time_loss,3,-1.959,-2.459,-2.459,-2.459,-2.459,-2.459,,1.0,0.267,-2.226,open,multi,1.55,41.1,0.0,-3.74,2.83,9.0,83.0,1,False,24.83,1,0.379,-0.133,16.87,0.4778,6.69,0.715,0.67,24.83,XLK,-0.0241,-7.1532,-2.0962,10,0.7209757566452026,1.0,0.0165,0.9753,-0.0094,1.1181,-0.27,,,,,,,,,,,,,,,,2009
2009-11-03,INTC,BUY,62.04,12.05,11.54,12.73,12.6,adaptive,3,4.567,4.067,5.171,5.171,5.171,5.171,,1.0,1.451,3.117,open,multi,2.77,56.2,4.567,-0.591,2.84,181.0,1.0,1,False,28.81,1,0.559,-2.683,12.05,0.3417,6.04,0.717,1.284,28.81,XLK,-0.0506,-7.149,-2.2024,11,0.7209757566452026,1.0,0.0165,0.9979,-0.0204,1.1078,0.36,,,,,,,,,,,,,,,,2009
2009-12-07,AAPL,BUY,50.44,5.67,5.46,5.95,5.95,target,2,4.939,4.439,0.362,4.439,4.439,4.439,,1.0,1.642,3.296,open,multi,3.66,31.0,5.461,-0.349,2.47,,,0,False,22.1,1,0.053,-2.261,5.67,0.14,8.45,0.793,1.618,22.1,XLK,-0.1388,-5.7285,-2.555,12,0.7162637710571289,1.0,0.0055,0.8735,0.0198,0.9992,0.3,,,,,,,,,,,,,,,,2009
2009-12-08,HAL,BUY,58.04,20.25,19.05,21.85,21.85,target,3,7.9,7.4,7.4,7.4,7.4,7.4,,1.0,1.576,6.324,open,multi,3.29,47.2,8.63,-0.375,3.95,500.0,46.0,1,False,23.69,1,0.143,-3.249,20.25,0.7999,6.68,0.75,1.459,23.69,XLE,-0.027,-9.9238,-2.1081,12,0.6729943752288818,1.0,0.0055,0.9066,-0.0478,1.0541,-0.24,,,,,,,,,,,,,,,,2009
